,fracdiff,bin,w,t1
2026-03-17 05:11:10.730571,6.0249585958509195,-1.0,1.220883227402937,2026-03-18 14:32:44.186212
2026-03-18 09:37:08.338200,6.021006367059745,-1.0,0.9541655558571077,2026-03-18 14:32:44.186212
2026-03-18 12:08:15.093003,6.010893789502783,-1.0,1.2858498050263898,2026-03-19 06:35:08.193805
2026-03-18 14:32:44.186212,5.997626281555664,-1.0,1.8932216860322975,2026-03-19 13:19:58.204396
2026-03-19 03:04:29.419616,6.001129377580471,-1.0,1.7556274251599058,2026-03-22 11:52:19.322615
2026-03-19 07:15:45.699282,5.989664288816089,-1.0,0.9647894353018868,2026-03-22 11:52:19.322615
2026-03-19 13:19:58.204396,5.985553170554329,-1.0,0.7466702882293378,2026-03-22 21:05:13.189880
2026-03-19 22:33:16.730753,6.001366456686719,-1.0,0.11181856528722195,2026-03-23 00:27:20.013445
2026-03-20 15:21:25.830308,5.9912173387437075,1.0,0.0775372535988894,2026-03-23 15:45:51.383075
2026-03-21 05:02:31.245414,6.008201764341514,-1.0,0.43609406455787925,2026-03-22 11:52:19.322615
2026-03-22 01:36:35.114895,5.981583869888067,1.0,0.5321993665730491,2026-03-25 05:06:14.584190
2026-03-22 11:52:19.322615,5.974117605763382,1.0,1.0460769572981605,2026-03-23 13:33:40.069799
2026-03-23 05:52:53.086974,5.988301435502487,1.0,1.4587799661224004,2026-03-24 11:12:19.044118
2026-03-23 11:08:04.069167,6.013584438160595,-1.0,0.5604070197055201,2026-03-26 12:13:26.602613
2026-03-23 15:45:51.383075,6.000930639669508,-1.0,0.8712294142877405,2026-03-26 17:57:02.375413
2026-03-24 11:12:19.044118,6.0168992119212845,-1.0,0.5398851869857805,2026-03-26 17:57:02.375413
2026-03-24 18:01:55.775470,5.9865187011341945,1.0,0.06549896100643623,2026-03-25 08:42:44.910937
2026-03-24 23:09:02.312182,6.007727242164995,-1.0,1.1466756910528757,2026-03-27 11:47:03.111513
2026-03-25 05:06:14.584190,6.013051211870797,-1.0,0.6294557694622086,2026-03-26 17:57:02.375413
2026-03-25 09:45:00.471641,6.003415556887466,-1.0,1.0773285074185477,2026-03-26 19:29:40.915346
2026-03-26 08:42:34.639811,5.992040990297863,-1.0,1.7255973355523875,2026-03-27 11:47:03.111513
2026-03-26 17:57:02.375413,5.97858385514528,-1.0,2.0413858731734678,2026-03-27 14:22:55.597758
2026-03-27 11:47:03.111513,5.95929904530536,1.0,0.9020840034779359,2026-03-30 14:46:04.606784
2026-03-27 14:22:55.597758,5.951158650297231,1.0,0.1803476432837263,2026-03-30 14:46:04.606784
2026-03-28 08:29:48.336524,5.970975821325322,-1.0,0.0068681259194312404,2026-03-31 09:56:41.700913
2026-03-29 22:45:13.468145,5.955077183806834,1.0,0.47016993500201737,2026-03-30 04:09:02.380407
2026-03-30 19:41:00.863476,5.965530228299803,1.0,1.6077999052370553,2026-03-31 17:14:17.323395
2026-03-31 09:56:41.700913,5.959122243019385,1.0,1.0436592915525391,2026-03-31 17:14:17.323395
2026-03-31 15:55:31.300992,5.964798147565769,1.0,0.9094906677098014,2026-03-31 17:14:17.323395
