,t1,bin,roll_c,roll_sigma_u,parkinson_vol_20bar,corwin_schultz_spread,becker_parkinson_sigma,kyle_lambda,amihud_lambda_20bar,vpin_10bar,round_number_fraction,serial_corr_signed_flow,tick_rule_accuracy,fracdiff,w
2026-08-05 11:59:14.338000,2026-08-07 11:22:52.938000,1.0,136.65719571590722,69.86015455685576,0.0034141042310590675,0.0025413815876525383,0.00128402546402285,10.188580861813152,2.6404144273165173e-08,0.45880873691545304,0.006211180124223602,0.2553362221152302,0.7763975155279503,1.4095404681647068,0.4202647861870897
2026-08-05 12:42:19.827000,2026-08-08 16:00:21.121001,1.0,146.3524581456127,86.14147879170092,0.0035640270259678316,0.0001343693993395536,0.003638265134156906,141.50266528704037,2.9622099402877305e-08,0.45087478109377166,0.0,0.32634428081803657,0.7288135593220338,1.4173219512862172,0.4896483273095308
2026-08-05 13:37:17.155000,2026-08-05 19:27:33.684001,1.0,182.41555956481653,0.0,0.0037152598249731513,0.003985018833525403,0.0027861652909564726,6.282307246850821,3.387209455782344e-08,0.469135745554387,0.0,0.3474559304181848,0.7583892617449665,1.4054723824020439,0.2223857350135856
2026-08-05 15:10:50.452001,2026-08-08 16:00:21.121001,1.0,234.5610648836604,0.0,0.004009474588133564,0.004888668540919426,0.0033897442118887375,35.52266351554923,3.9862351966567394e-08,0.5042755654172322,0.010101010101010102,0.38711111111111113,0.7222222222222222,1.4212972643617672,0.5303258127957242
2026-08-05 19:27:33.684001,2026-08-08 23:28:46.255000,1.0,221.44325940710414,0.0,0.0031810227762373742,0.0,0.0016651236691147039,8.285506905887479,2.8626969673218047e-08,0.6338368075623885,0.0,0.42088835534213687,0.5925925925925926,1.4162588603995463,0.028834849328093198
2026-08-06 02:03:27.024000,2026-08-09 02:35:06.072000,1.0,207.5475822644074,0.0,0.002684244649808837,0.00031153644556945043,0.0009480716117580205,-1.4180925766466244,2.217282515210068e-08,0.48698281786941583,0.0,-0.007936507936507934,0.78125,1.4115094414107396,0.06177285516190063
2026-08-06 05:59:55.290000,2026-08-09 14:57:52.661000,1.0,0.0,114.00318783580211,0.001595979585092776,7.394429384332932e-05,0.0034088159985497177,14.080380511234953,1.0873484731602521e-08,0.7299822681171666,0.0,0.2357258499730167,0.8663239074550129,1.4176665382300317,0.4501721169064535
2026-08-06 11:13:28.059000,2026-08-09 14:57:52.661000,1.0,0.0,131.608156999374,0.0019000594944453993,0.0016909342209525233,0.002678924512238858,4.196103887336727,1.2051651245550795e-08,0.7635005415804558,0.0011574074074074073,-0.03847434864356702,0.9270833333333334,1.409019109724591,0.22967388258970023
2026-08-06 13:16:24.578000,2026-08-07 11:21:13.225000,1.0,32.93182395859364,110.00921300745809,0.0018217042703895887,0.0,0.001638971710906296,2.2059297897583576,1.0678146206407368e-08,0.7536259581445971,0.009433962264150943,0.1297337832770904,0.8867924528301887,1.4092861417719202,0.27232949813314
2026-08-06 14:42:00.251001,2026-08-07 12:14:36.380000,1.0,16.088586343314798,48.787515972191784,0.001054389593760024,6.687095321899884e-12,0.0019249405926763724,1.1818755861289492,3.5679123047635183e-09,0.8841580611667839,0.0,0.1905548632304751,0.828125,1.4141694473428466,0.35926910234289217
2026-08-06 15:13:06.107007,2026-08-07 06:55:51.617002,-1.0,35.31551075246582,40.07458563735712,0.0012848942400567913,0.0,0.0018292997254685706,2.7955192433656233,6.189336923569365e-09,0.7724216777359552,0.0,0.0798206052308089,0.9120879120879121,1.4143601708573073,0.2616113939792349
2026-08-06 16:24:59.759000,2026-08-07 12:14:36.380000,1.0,10.641801720549934,70.2292553050492,0.0013528128085706877,0.0010838993514613747,0.0003568554379295625,1.3842645035291687,7.133111419445202e-09,0.7508105096169111,0.0,0.2764227642276423,0.9666666666666667,1.411667508949046,0.25644308894693085
2026-08-07 06:55:51.617002,2026-08-07 10:48:39.973001,1.0,38.49370278491681,61.82398912679266,0.0016629785794071393,0.0,0.0026350385310636793,15.33971079843628,7.770980670281436e-09,0.6475987629808792,0.0,0.29565648499178665,0.7033333333333334,1.4093767882532777,0.1552173037272664
2026-08-07 10:48:39.973001,2026-08-09 22:14:23.389000,1.0,85.93111222341497,99.82146129143105,0.002179722275073408,3.520541440891992e-05,0.005329988139760879,95.92532544414935,1.055898782870047e-08,0.6553337979938786,0.046296296296296294,0.4603600484680629,0.7777777777777778,1.4200621421974162,0.8206113579083456
2026-08-07 12:14:36.380000,2026-08-07 17:33:36.013006,-1.0,49.490441486592864,140.36911325249807,0.002178912336089239,0.0010506398807328323,0.0013594472552978538,8.703748441325263,1.2383034228734529e-08,0.5898735952468818,0.025210084033613446,0.5398068427711327,0.6722689075630253,1.4164877879939173,0.3441228207671729
2026-08-07 15:04:27.485000,2026-08-10 15:22:04.539000,-1.0,51.781012703578064,164.0211753994447,0.002555221281708967,0.0025803270381448114,0.0028486453348633856,176.32206463581906,1.4214982145173719e-08,0.4841028051864827,0.024324324324324326,0.29390175042348904,0.6432432432432432,1.4085257642922997,0.8603234579414447
2026-08-07 17:33:36.013006,2026-08-08 16:00:21.121001,1.0,0.0,196.6829876946881,0.0026337294322442274,0.0,0.0030343207815815235,-1.4391598159582795,1.5461682592024455e-08,0.5064676181668208,0.013157894736842105,0.2591185410334346,0.7894736842105263,1.4088834243953787,0.21437905654195374
