roll,t_stat,t_p_value,n_active,mean_pnl
2821,-0.8368340489464908,0.40273139540140335,4392,-7.790409423782485e-06
2822,1.4250611337254766,0.15423879011480413,3145,2.349769619191681e-05
2823,0.13867700870666416,0.8897121300697184,4142,1.62352732560315e-06
2824,-0.5730837812510376,0.5666178233996484,4317,-7.156547784172856e-06
2825,-0.1385539624151313,0.8898080791916736,5116,-1.1476511938511969e-06
2826,0.08279733422872197,0.9340161448377926,4796,8.586798880431945e-07
2827,0.7881571727345748,0.43063820873006864,5589,8.651975479836556e-06
2828,0.3446959494536176,0.730340464067559,4143,4.151023565191743e-06
2829,0.8030033351405501,0.4220042837841744,6064,5.079668029488254e-06
2830,-1.4239261018756078,0.15452736252253163,5245,-1.4691503217330319e-05
2831,-0.03827450067875195,0.9694702049650621,5523,-4.0570498091261887e-07
2832,-0.88593048558505,0.3756923934137728,5696,-9.696318704654052e-06
2833,-0.5140878337379681,0.6072126147405261,5157,-4.80379061369693e-06
2834,0.48684393407450155,0.626387119780754,5868,4.733275023090657e-06
2835,-0.7601875123749083,0.4471760314501303,5347,-5.252975119853542e-06
2836,0.4045192659166008,0.6858501304113136,4503,5.5938218767950885e-06
2837,0.5427425275802994,0.5873317080243798,4914,6.3226349581507865e-06
2838,-0.10075204161333677,0.9197515017848084,4806,-1.0322556103064516e-06
2839,0.21201459526989833,0.8321039843677047,5184,2.219522209162006e-06
2840,-1.502297142704133,0.13308988858356274,4544,-1.5240530599236128e-05
2841,1.076317914922488,0.2818390464029972,4814,1.4390895300156976e-05
2842,-0.7989578460398301,0.4243551925617206,4705,-8.516594443320074e-06
2843,-1.0617236232608782,0.2884113369471448,5112,-7.3424321313415914e-06
2844,0.7743617378726877,0.43876218407298073,4044,8.893456217217095e-06
2845,-0.7560130180838548,0.4496747448657259,5340,-7.221032301638355e-06
2846,0.4257034242422001,0.6703396779306177,5832,4.784343787033411e-06
2847,-1.3952482961037236,0.16300309291453896,4989,-1.0877177974847797e-05
2848,0.442938357977037,0.6578296031463284,4970,5.735839267487206e-06
2849,0.29475173975866537,0.7681959991104712,4910,3.543097123041427e-06
2850,0.12647145582997205,0.8993647963482092,4201,1.4183067913105602e-06
2851,-0.21332969692470596,0.8310770561924372,6004,-1.3011338481934184e-06
2852,-0.30446461211989023,0.7607887654094294,4277,-3.007164267599716e-06
2853,-0.5642854124471373,0.5725873951438278,4605,-6.3974285724401935e-06
2854,0.15573161491272583,0.8762503521158176,5443,1.809007798964979e-06
2855,0.9785151551816722,0.3278719215401784,4525,1.1563150248593665e-05
2856,-0.7532690653817042,0.4513205213065261,5495,-8.546808054279358e-06
2857,0.03415127152316329,0.9727576153298843,6244,1.9251690056612864e-07
2858,-0.7815374060376369,0.4345272115882186,4544,-7.393521268613932e-06
2859,0.5586175461609905,0.5764454582014813,5512,6.169886135249415e-06
2860,-0.3126057377474769,0.754595476613718,4273,-3.5883568313173333e-06
2861,1.0028394189374659,0.315978209306637,6088,1.0320373417714157e-05
2862,-0.7945693128323095,0.42690417641141987,4703,-9.408980580804057e-06
2863,-0.4742576811407091,0.6353400409867604,4338,-4.0328969286020946e-06
2864,0.463151209298899,0.6432799545314789,4206,4.483598066928951e-06
2865,0.730445502714777,0.46515083912247124,5198,5.525558696274664e-06
2866,1.164872053330493,0.24411495591353605,6292,1.1219526791503376e-05
2867,1.2314443205911447,0.21821126400728286,5311,1.4170149071511737e-05
2868,-1.7016536950224872,0.08887796610314336,5392,-1.4992561090959381e-05
2869,-1.421514156848279,0.15523014814844482,4966,-1.089434997895829e-05
2870,1.4227114738799858,0.15487809444580147,5353,9.4523091313224e-06
2871,-1.698319305402658,0.08949955292436851,5979,-1.5569520220485755e-05
2872,-0.0750856619474548,0.9401499521631875,4423,-7.813982480071508e-07
2873,-0.7179926721248369,0.4727924625245534,5472,-8.431513800674227e-06
2874,1.2655351127479282,0.20573859715191833,4996,9.916887994970275e-06
2875,-0.9090699354584989,0.36336569746914194,4175,-1.088690654499015e-05
2876,0.9476819169157855,0.34335852175171233,3413,1.044363523868224e-05
2877,0.3549196053975988,0.7226718726957784,3395,3.7826784228065275e-06
2878,0.42128473438434316,0.6735620145095038,6103,2.719851285718195e-06
2879,-2.220260347843999,0.0264428293615655,5353,-2.344711082429648e-05
2880,-0.4855079710949897,0.6273333802613594,6142,-3.863898157927659e-06
2881,-0.20420030480669976,0.8382058712218476,4671,-2.5359033488545203e-06
2882,-1.2995166016007362,0.1938407372465616,4047,-1.2095780619573902e-05
2883,-0.6578357619161412,0.5106688123268621,6024,-6.616984999866145e-06
2884,0.19739300727807405,0.8435271119911585,5643,2.1942985922629075e-06
2885,-1.522203244024473,0.12801619984873258,5449,-1.5923940801617844e-05
2886,-0.5340782195414601,0.5933110060049662,5034,-5.252170880428816e-06
2887,-1.1496705346602032,0.2503376959599506,4733,-1.2311615877225691e-05
2888,-0.4564380298214316,0.6480972647793442,4458,-5.667025464304087e-06
2889,0.7606718690836951,0.4468925237267021,4548,6.374512494089646e-06
2890,0.2061997809735458,0.8366427359679685,5330,2.116476658208124e-06
2891,0.10375427542928926,0.9173690394842284,4441,8.912632267890227e-07
2892,-0.556266553345108,0.5780552997236423,4671,-5.724450040803577e-06
2893,1.6910494793928526,0.09088707179370248,5219,1.1997482674793752e-05
2894,-1.134130229667481,0.25678281157487093,6340,-7.655660165122567e-06
2895,-0.12186693948536893,0.9030091702985781,5133,-8.736228049082956e-07
2896,-1.403025855599912,0.16067343341806573,4829,-1.0802966090184486e-05
2897,-0.47790795838719785,0.6327346890399816,5507,-5.516844706375894e-06
2898,-2.0517471279769497,0.04025496156783781,4281,-2.4394399266843705e-05
2899,-0.9875548903948035,0.3234181981507893,5030,-1.1708195378567199e-05
2900,1.1890680985728312,0.23446347696704684,5580,1.349276326514961e-05
2901,-0.7870032403170638,0.4313114259080968,5930,-8.180862044714802e-06
2902,-2.2752825694302126,0.0229372330805111,4368,-2.1878571338664516e-05
2903,0.028392382255629515,0.9773504224461611,4635,3.528739298074404e-07
2904,0.8589196097113869,0.3904335966998984,4226,8.647118890361882e-06
2905,-1.0314231704204349,0.30239311838926763,4921,-1.0703715592596501e-05
2906,-0.002482022752910464,0.9980197404575171,4669,-2.751249620873616e-08
2907,-0.003259646849634924,0.9973993380355248,4187,-3.6281139661822245e-08
2908,-1.209486395936089,0.22654006941635663,4466,-1.4827762767033655e-05
2909,1.078442018280738,0.2808827461989385,5631,7.340318317274454e-06
2910,0.5392127104516271,0.5897647808179949,4863,6.503390553043912e-06
2911,0.9544881177233728,0.3398911366399284,4233,8.558147670785026e-06
2912,-1.2923260401116472,0.19630338766242295,5051,-1.3872724811331795e-05
2913,-0.04897911732827062,0.960937825125006,5184,-5.883734027093265e-07
2914,-1.4868768499826786,0.13711940055846816,4376,-1.752727769683434e-05
2915,0.3551385331469896,0.7224985458859714,5882,3.464332559725046e-06
2916,1.505545248617935,0.132254561796185,4474,2.1539214824699857e-05
2917,-0.9756595837679873,0.3292808829511107,4949,-9.639650997014688e-06
2918,-0.3912985256555073,0.695590409567497,6033,-3.5155719172554693e-06
2919,-0.583906261918236,0.5593172442997005,3890,-7.573466078214149e-06
2920,-0.5582396740491176,0.5767059447171206,4958,-6.552138338456092e-06
2921,-1.469569242896292,0.1417510557746784,4334,-1.6915182281901138e-05
2922,0.2031597496409841,0.8390178935717656,5354,2.4382315662663365e-06
2923,-1.3834709725204077,0.1665833713931122,4913,-1.3588544104960871e-05
2924,0.14973382783020112,0.8809802931764221,5322,1.1489145104879183e-06
2925,0.01610334315472171,0.9871526498213772,4568,2.0238266922077526e-07
2926,-0.3489943190042532,0.7271104774469936,4348,-3.618377377823324e-06
2927,-0.310445230975081,0.7562339557258351,5601,-3.5656378920460676e-06
2928,0.23584889471872264,0.8135580649830687,5935,2.1227710148874745e-06
2929,0.20298629130555432,0.8391542062516644,4883,2.3721932358718e-06
2930,-1.6000778646484106,0.1096594628271208,4043,-2.5096171565164248e-05
2931,0.6823622511263994,0.4950425535846641,4844,6.208970822019721e-06
2932,-0.709656220728844,0.4779438161321994,6252,-5.238949209200729e-06
2933,1.2176584528520535,0.2234015488211909,6017,1.2588168453461296e-05
2934,-0.9267426075911348,0.35410954914179715,4532,-6.939021179860894e-06
2935,-1.7330973149171505,0.08314459638061189,4656,-1.729292374572849e-05
2936,-0.06568544925159228,0.9476306815474738,5417,-6.42055481688552e-07
2937,-1.083641286758716,0.27856944038902043,5735,-8.290955176390045e-06
2938,-1.9398698132547605,0.0524441565072693,5774,-1.61724691574108e-05
2939,0.13561462411493208,0.892131500863294,4913,1.5713117038612005e-06
2940,0.8964399408308188,0.3700699147959723,4145,9.750841382760698e-06
2941,1.0735141645965431,0.28309262615285613,4969,7.955951360483076e-06
2942,-0.3452537138503284,0.7299195511020007,4565,-4.249289911734398e-06
2943,-1.3412117306908788,0.17990640358481036,5571,-1.13757464611643e-05
2944,1.2455749112971313,0.21298202478335337,4744,1.5824695369461888e-05
2945,-1.8331625908840976,0.06684581188180427,4408,-2.3243802081374308e-05
2946,0.7471537667263587,0.4550017134943303,5674,8.774809916306118e-06
2947,0.02870431030936007,0.9771015852328424,4911,3.5986518531191735e-07
2948,-0.049597383560884056,0.9604455394897617,4293,-4.587290979209867e-07
2949,0.19842131878153707,0.8427231145507386,5256,1.4274887799818884e-06
2950,0.33635522207261687,0.7366165813310599,5202,4.16779931141324e-06
2951,-1.2864004701892036,0.1983570121527063,5549,-1.0328595277649027e-05
2952,-1.0772681758005331,0.2814187000057866,4464,-1.44096328521471e-05
2953,-0.32420725083402585,0.7457952328712747,4810,-3.4321321538738595e-06
2954,-0.3759471216876543,0.7069698890159759,5830,-4.117706757458336e-06
2955,-0.050118934576476176,0.9600297020752839,4788,-3.538499020381502e-07
2956,-2.0039304014411288,0.045126088196641545,5544,-1.9610621449181683e-05
2957,-0.6878321396600532,0.4915875635406577,5489,-5.638470677605786e-06
2958,-0.8522237413079814,0.3941270424711236,5499,-6.460657471577006e-06
2959,-0.5587580794473485,0.5763537239723369,4654,-4.414123805472426e-06
2960,0.4805808957732979,0.6308326286853814,5767,5.241163097846719e-06
2961,0.6243910818772218,0.5323972910917991,5374,7.224156110467975e-06
2962,-0.08551645922887287,0.9318539486064155,5457,-8.114372830029986e-07
2963,0.5784687097835826,0.5629752927910152,4725,4.779942606272242e-06
2964,0.7993852909085221,0.4241009835076097,5594,9.101794458362793e-06
2965,-1.1309690383623365,0.25812735376753215,4580,-1.3422392586591179e-05
2966,-0.29770763698342445,0.7659441567682337,3467,-3.501937502784169e-06
2967,0.39002060731041954,0.696536200450443,5579,2.428668878164731e-06
2968,2.410413652112552,0.015967171703057836,5480,1.6570606871284083e-05
2969,0.459264235452313,0.6460636765514478,5187,4.285643381613764e-06
2970,2.275628459164996,0.022903252214773406,6019,2.427639897430596e-05
2971,-1.202646643996936,0.22917594469703495,4531,-1.21731710234717e-05
2972,0.2982725702739838,0.7655072529860785,5116,3.5709777385456787e-06
2973,0.5020287462806289,0.6156666272514677,5720,3.2297768082833547e-06
2974,0.214836435055631,0.8299040078771038,4782,2.9361541749924007e-06
2975,0.3893525343115041,0.6970312013295734,5241,4.708613105505674e-06
