edge_strength,seed,n_raw_trades,n_bars,n_events,n_events_enriched,fracdiff_d,raw_signal_corr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.2,4,120000,992,228,228,0.4,0.16026027910897808,884,0.1526551707647498,134.94717095603883,-0.05132864017386041,0.2103843347972153,0.07575757575757576,-0.0016427257226586099,5.19170310473168,20,11.170490026473999,
0.3,0,120000,991,244,241,0.30000000000000004,0.19634921340066208,922,0.16710233279402703,154.06835083609292,0.04505642197193817,0.6435830742643458,0.8138528138528138,0.4374143947179745,6.321980121071107,20,11.574023962020874,
0.3,1,120000,992,266,266,0.2,0.12854100128249105,848,0.13515777636017243,114.61379435342621,0.03367139169452123,0.5709478437010908,0.7564935064935064,-0.13260004099754516,5.990561487004149,20,12.07367491722107,
0.3,2,120000,991,252,248,0.5,0.1794890410348016,930,0.13464816177128772,125.22279044729757,0.03145656470397157,0.605767940483227,0.6731601731601732,0.13810061249531097,5.589601545653533,20,11.951192378997803,
0.3,3,120000,991,241,240,0.0,0.3055107734560803,650,0.16912242465728172,109.92957602723313,0.0069003097903688505,0.4595629677690592,0.801948051948052,0.25846504531573594,5.384818818541394,20,11.523950815200806,
0.3,4,120000,992,223,221,0.4,0.21217466269166138,887,0.15798722677797777,140.1346701520663,-0.05446036193461435,0.22439835745942066,0.5670995670995671,-0.08807697658707105,7.127386631399605,20,11.440345764160156,
0.5,0,120000,991,247,240,0.30000000000000004,0.2693349447827431,825,0.16779866998917167,138.43390274106662,-0.00962988618757315,0.39052224711025857,0.6515151515151515,-0.5212278789518667,7.482270642472812,20,11.777968645095825,
0.5,1,120000,991,267,263,0.0,0.2287086696245667,624,0.13303356138575345,83.01294230471015,0.0794121038712812,0.5531998483354965,0.006493506493506494,0.3967239170828871,8.218633344323806,20,12.450328588485718,
0.5,2,120000,991,261,256,0.4,0.26908236963491106,587,0.13166217881123468,77.28569896219476,0.0288212478037336,0.5768331499258033,0.5454545454545454,0.08056653494815148,3.26018634504859,20,12.403677225112915,
0.5,3,120000,991,256,251,0.0,0.4031186307376067,587,0.16610915562859593,97.50607435398581,0.017843211101116817,0.364702569052795,0.37987012987012986,0.25319341392635375,6.0976899643613685,20,12.603983879089355,
0.5,4,120000,992,234,227,0.4,0.295103827948062,825,0.14865744178482285,122.64238947247885,-0.05077946162831604,0.2615779318368767,0.6201298701298701,-0.07472747309381392,10.39377942086739,20,12.462683916091919,
