T_label,T_effective,z,rep,dsr,pbo,confidence
single_window_tb2000,197.3,0.0,50,0.6373576091485269,0.35714285714285715,0.40972989159548157
single_window_tb2000,197.3,0.0,51,0.43894267318469726,0.5974025974025974,0.1767171801133197
single_window_tb2000,197.3,0.0,52,0.36635410166341315,0.5963203463203464,0.14788969688360723
single_window_tb2000,197.3,0.0,53,0.5077847289873242,0.8214285714285714,0.09067584446202219
single_window_tb2000,197.3,0.0,54,0.5660844164555878,0.4448051948051948,0.31428712731787506
single_window_tb2000,197.3,0.0,55,0.74422504092807,0.2077922077922078,0.5895808765793801
single_window_tb2000,197.3,0.0,56,0.3345122890517177,0.854978354978355,0.04851152243823613
single_window_tb2000,197.3,0.0,57,0.8601753275762805,0.25432900432900435,0.6414077929654299
single_window_tb2000,197.3,0.0,58,0.2510442980933666,0.8582251082251082,0.035591778192890715
single_window_tb2000,197.3,0.0,59,0.5839666233115878,0.4090909090909091,0.34507118650230184
single_window_tb2000,197.3,0.0,60,0.5568681702327212,0.38961038961038963,0.3399065454667259
single_window_tb2000,197.3,0.0,61,0.5250803026550013,0.46320346320346323,0.2818612880052821
single_window_tb2000,197.3,0.0,62,0.660583149516296,0.4621212121212121,0.3553136637549774
single_window_tb2000,197.3,0.0,63,0.7995177838381597,0.3560606060606061,0.514840997168512
single_window_tb2000,197.3,0.0,64,0.4812849085156835,0.4675324675324675,0.25626858765120814
single_window_tb2000,197.3,0.0,65,0.5080374557099812,0.8874458874458875,0.05718170497168617
single_window_tb2000,197.3,0.0,66,0.2269087129866193,0.7413419913419913,0.058691755848270584
single_window_tb2000,197.3,0.0,67,0.6093320178971205,0.33766233766233766,0.4035835443214695
single_window_tb2000,197.3,0.0,68,0.47874466205626565,0.711038961038961,0.13833855494483002
