edge_strength,seed,n_raw_trades_used,n_scaffold_bars,n_bars,raw_signal_corr,n_train,n_test,ols_alpha,ols_beta,r2_train,pct_active_test,sharpe_oos,hit_rate_oos,wall_clock_sec,error
1.0,1,299857,996,996,0.3670284621354436,487,488,0.0002154649551990002,1.7897424231449833e-05,0.011987988654026172,1.0,0.07783132040612596,0.5450819672131147,9.699921607971191,
1.0,2,299829,996,996,0.27315878833799573,487,488,0.00018754805133459134,3.588004871900509e-06,0.0004620220888231774,1.0,-0.07154036483843279,0.4733606557377049,9.337161779403687,
1.0,3,299753,996,996,0.32526490358539617,487,488,-0.0009316551914575313,-5.877344411590558e-06,0.0006060034328693176,1.0,-0.10469293221272481,0.46311475409836067,9.675275564193726,
1.0,4,299828,996,996,0.31263210187755935,487,488,9.879329659973635e-05,-5.077566311726951e-07,1.0196239683790687e-05,1.0,-0.05816096588605161,0.4364754098360656,9.621694326400757,
1.5,0,799394,998,998,0.38488558999457884,488,489,0.0018124057392548275,-2.4697580593190547e-05,0.013345280284776662,1.0,0.03828795497542544,0.5010224948875256,15.03087306022644,
1.5,1,799434,998,998,0.3440133149765519,488,489,0.0008186495008922154,1.8055336971634633e-05,0.013041503753389971,1.0,0.053685066591355544,0.5071574642126789,14.300832033157349,
1.5,2,799467,998,998,0.4186452783755557,488,489,0.0006414288006754743,-3.834144321245699e-07,1.8868723018483635e-06,1.0,0.01643190502373683,0.5132924335378323,13.562784910202026,
1.5,3,799159,998,998,0.3837082730924907,488,489,0.0008467816108245838,3.974844668770656e-06,0.00303243408705689,1.0,-0.07601944392723817,0.46421267893660534,13.386170864105225,
1.5,4,799541,998,998,0.39922982065813556,488,489,0.001502983203133303,-6.621715100051379e-06,0.001665713633824395,1.0,0.01897914942799885,0.5051124744376279,13.270589828491211,
2.0,0,,,,,,,,,,,,,,LinAlgError: SVD did not converge in Linear Least Squares
2.0,1,499952,998,997,0.41559491492309514,488,488,0.000315985474899201,-4.889221597052115e-05,0.003782720937318018,1.0,0.018160142909696628,0.4487704918032787,11.009732246398926,
2.0,2,499525,997,997,0.45239880122852205,488,488,-0.0007853175411869232,-0.0001296766401794855,0.056187231788140446,1.0,-0.06418618660484579,0.49385245901639346,11.418025016784668,
2.0,3,499466,997,997,0.44838542716911367,488,488,-0.0016667256047465683,-6.025335348893771e-05,0.008471734696518518,1.0,-0.06462854779087755,0.48360655737704916,10.886321783065796,
2.0,4,499447,997,996,0.46998137681885355,487,488,-0.0018116701305633497,3.4882563843518536e-05,0.002980479799120306,1.0,-0.028235954911383584,0.47540983606557374,11.006271839141846,
3.0,0,1199845,999,998,0.48589447670196195,488,489,0.00486241364815712,6.435644827176446e-06,0.001660577833653143,1.0,-0.007571329159506509,0.49693251533742333,16.16032099723816,
3.0,1,,,,,,,,,,,,,,LinAlgError: SVD did not converge in Linear Least Squares
3.0,2,1199853,999,1014,0.47624522072944775,496,497,0.001690486652675845,9.270434959204703e-05,0.0680787544055359,1.0,-0.013404758343186857,0.44064386317907445,16.399061679840088,
3.0,3,1199884,999,998,0.4680714208779686,488,489,0.036406638364309594,-6.990998645785968e-06,1.886915225124408e-05,1.0,0.040679382928409266,0.50920245398773,15.726874828338623,
3.0,4,,,,,,,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
5.0,0,1199845,999,998,0.5011529550910756,488,489,0.004959124939726565,5.676554010207699e-06,0.001380332505389159,1.0,-0.002107941400929556,0.4723926380368098,16.35292339324951,
5.0,1,,,,,,,,,,,,,,LinAlgError: SVD did not converge in Linear Least Squares
5.0,2,1199853,999,1034,0.49591928300839505,506,507,0.007404352033844425,-1.0276320016810251e-06,5.91290927332011e-07,1.0,-0.013860757077123902,0.4516765285996055,16.843885898590088,
5.0,3,1199884,999,988,0.4868715879560857,483,484,0.12224889729156853,-1.792990040384693e-05,8.920283662339212e-05,1.0,-0.08456529882214385,0.4524793388429752,15.48769474029541,
5.0,4,,,,,,,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
8.0,0,,,,,,,,,,,,,,LinAlgError: SVD did not converge in Linear Least Squares
8.0,1,1799204,999,1047,0.5017667603796048,513,513,0.0020477442790292418,0.00013849994834104864,0.2767909747337608,1.0,0.027545307228732278,0.49122807017543857,23.111032247543335,
8.0,2,,,,,,,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
8.0,3,1799189,999,998,0.4814631907919792,488,489,0.016736996332264886,-8.716864474243156e-07,4.109162799559307e-05,1.0,-0.001892093757034324,0.47648261758691207,23.10024333000183,
8.0,4,,,,,,,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
