continuation_prob,seed,n_bars,n_events,n_events_enriched,fracdiff_d,bar_lag1_autocorr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.51,29,2987,317,317,0.5,0.040919999540303766,2810,0.2273511435009629,638.8567132377057,0.018851922507280693,0.6518691449576537,0.28679653679653677,-0.14068284767582373,5.951768019006728,20,25.551791191101074,
0.51,30,2987,353,353,0.6000000000000001,0.027801128659026487,2424,0.17794346760177276,431.33496546669716,-0.03826300780539826,0.16442297548001578,0.010822510822510822,-0.060394585752024735,6.736626560495134,20,28.022829294204712,
0.51,31,2987,387,387,0.1,-0.008050545952082147,959,0.18806174291958727,180.35121145988418,0.048503991898943576,0.5851831370989871,0.11038961038961038,0.36720610884905175,4.239995676738381,20,28.754520893096924,
0.51,32,2987,350,350,0.30000000000000004,0.06720226152854138,2630,0.1665425595853746,438.0069317095352,0.001628127346536763,0.47228991979872825,0.7564935064935064,-0.10720268356047336,4.440067206207975,20,27.87690782546997,
0.51,33,2987,360,360,0.5,0.055856584747451136,2817,0.2479197259398232,698.389867972482,0.019027554643526123,0.5406045723096748,0.06601731601731602,-0.10724565254521927,4.913973010738848,20,27.46365261077881,
0.51,34,2987,390,390,0.5,0.013134974486715167,1465,0.23377014812981797,342.47326701018335,0.0031110155394297304,0.4251939296638361,0.045454545454545456,-0.17470670604192218,3.910867886193229,20,29.862738847732544,
0.51,35,2987,353,353,0.30000000000000004,0.03272084077231582,2244,0.2234936710339497,501.51979780018314,0.0025645994638205287,0.4706419553302364,0.7034632034632035,-0.037494321414755234,9.317693910444131,20,27.367830753326416,
0.51,36,2987,414,414,0.30000000000000004,0.03103861595953813,125,0.17805818178837443,22.257272723546805,-0.0036441015134914597,0.4646413618793512,0.3116883116883117,-0.07973810456027255,2.9719555610427952,20,29.23475742340088,
0.51,37,2987,408,408,0.2,0.033762560679289136,2199,0.18377667375557083,404.12490558850027,0.011576907803560807,0.5410729290168684,0.6212121212121212,0.07392669085417294,5.022064625195329,20,31.80330204963684,
0.51,38,2987,359,359,0.30000000000000004,0.03532614749272848,2542,0.1937545968931332,492.5241853023446,-0.014306661616978912,0.28659813641749576,0.34415584415584416,0.42946636136427285,6.3403918776228565,20,26.61423897743225,
0.51,39,2987,361,361,0.4,0.05274695168547459,873,0.20000441765555146,174.60385661329641,-0.001250421505400928,0.4596545774070398,0.577922077922078,-0.020273367677420103,4.822181194742212,20,26.09148597717285,
0.51,40,2987,460,460,0.5,0.02352599359410479,1169,0.1555620829114037,181.8520749234309,-0.02692384652710383,0.33527675770201687,0.8127705627705628,-0.11558834658342716,6.05534644732974,20,28.27280831336975,
0.51,41,2987,362,362,0.2,0.021063931663611216,963,0.15888884892850458,153.0099615181499,0.016418557419355922,0.5648743918861739,0.9837662337662337,0.19549647632539885,3.739510420484345,20,24.599058866500854,
