edge_strength,seed,roll_window,raw_signal_corr,n_full,corr_full,n_nonoverlap,corr_nonoverlap,corr_ratio,wall_clock_sec,error
1.0,18,20,0.35753420169755046,975,0.012260360305604632,49,-0.1980911381565704,-16.15704051258723,8.198174715042114,
1.0,19,20,0.34874966793321893,975,0.019364707209722574,49,0.14293722758618663,7.381326556511071,8.571794986724854,
1.0,20,20,0.37070662264505566,975,-0.03958888962230939,49,-0.08934332220890308,2.25677767326305,8.195611000061035,
1.0,21,20,0.31134131136593796,975,0.026860107581030964,49,0.08882467782228906,3.3069367855033636,8.334033489227295,
1.0,22,20,0.3311378710188416,975,0.06841286896217275,49,-0.05151646702906257,-0.7530230468414848,8.309274673461914,
1.0,23,20,0.36293904190575565,975,-0.0461310515649832,49,-0.03294862387029391,0.7142396011476204,8.179120063781738,
1.0,24,20,0.3165313743751393,975,0.0621557255116848,49,0.32566849042334317,5.239557381759143,8.650857925415039,
1.0,25,20,0.3381293632838437,975,-0.05353989673993456,49,0.11950372314031016,-2.2320499369057285,8.22134017944336,
1.0,26,20,0.3311436032075809,975,-0.0516110113920694,49,0.19663738387634255,-3.8099889650013337,8.275692701339722,
1.0,27,20,0.32051376431363127,975,-0.026874079454755624,49,-0.016276738183082347,0.605666817741064,8.207217454910278,
1.0,28,20,0.34171761590725896,975,-0.073201013698166,49,0.17930833675320715,-2.4495335200214527,8.34325623512268,
1.0,29,20,0.304966136740275,975,0.04222679956716727,49,-0.05741088711453169,-1.3595841433166664,8.392905712127686,
1.5,5,20,0.40307326901512996,977,0.020665429120315673,49,0.2953525260812375,14.292107091591133,12.150160789489746,
1.5,6,20,0.40389457439351345,977,0.08378177920437203,49,0.3570093712978273,4.261181544342248,11.953115224838257,
1.5,7,20,0.422959987367342,977,0.00873458178198019,49,-0.16524011132380068,-18.91791907709857,13.040939569473267,
1.5,8,20,0.3899737295403345,977,-0.0024685033403817865,49,-0.13615708091844775,55.15774627122411,12.337458610534668,
1.5,9,20,0.40022230189530444,977,-0.018638637144948133,49,0.31608879107173665,-16.958793103465197,11.678001880645752,
1.5,10,20,0.4183179096750578,977,-0.020412353276333152,49,-0.1752140728382383,8.58372723939616,11.866516590118408,
