edge_strength,seed,n_features,n_raw_trades_used,n_scaffold_bars,n_bars,n_events,n_events_enriched,fracdiff_d,raw_signal_corr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,oos_accuracy,prob_label_corr,skew,kurtosis,n_trials,wall_clock_sec,error
1.0,10,4,299787,996,996,567,563,0.30000000000000004,0.32053185514902927,898,0.10747962222889738,96.51670076154986,0.056824460397225045,0.5546930520053558,0.31493506493506496,0.5541740674955595,0.06317065528016408,-0.06705827541830824,9.83080348687986,20,23.89885401725769,
1.0,11,4,299777,996,996,563,562,0.4,0.3235446666634709,963,0.12947064129033947,124.68022756259691,0.01704584196606492,0.5268175473713563,0.8235930735930735,0.5640569395017794,0.0736061154395963,-0.06597259876335158,4.997056917283589,20,24.035714387893677,
1.0,12,4,299802,996,996,556,555,0.4,0.3653036076500308,445,0.11943384180955054,53.14805960524999,-0.027008413159901108,0.3661816596777703,0.6374458874458875,0.43783783783783786,0.14915483621779418,-0.38474310254960836,5.4297166533874925,20,24.104296684265137,
1.0,13,4,299758,996,996,576,574,0.2,0.3484089166618885,863,0.1103174499916597,95.20395934280232,0.06921637416554424,0.4194840978816511,0.0,0.5174216027874564,-0.08749609908802047,-0.14302938692371459,8.532988746268552,20,26.721750020980835,
1.0,14,4,299742,996,996,557,554,0.30000000000000004,0.3520896268956188,791,0.10957151775696948,86.67107054576286,0.024791462697743977,0.5129747572526825,0.4880952380952381,0.4729241877256318,0.08459261169610358,-0.03555593150809107,4.905224372418745,20,30.31232738494873,
1.5,5,4,799093,998,998,778,764,0.4,0.40307326901512996,435,0.140622920263461,61.170970314605526,0.0292608879061444,0.4460093533930798,0.1645021645021645,0.4738219895287958,-0.029011520409568628,0.5450314531735347,7.333982136277607,20,38.12819814682007,
1.5,6,4,799386,998,998,756,753,0.2,0.40389457439351345,909,0.14981571476595845,136.18248472225622,0.0901952307277667,0.7982806147412971,0.7564935064935064,0.6427622841965471,-0.10238600779483471,1.8104263316204852,25.052533507091503,20,39.334447622299194,
1.5,7,4,799447,998,998,797,785,0.2,0.422959987367342,17,0.14061822235414778,2.3905097800205124,0.024369127316373005,0.49650293775745075,0.45995670995670995,0.4713375796178344,-0.010608158171415005,0.0818701985785464,2.329187856542661,20,36.52646255493164,
1.5,8,4,799381,998,998,787,780,0.4,0.3899737295403345,853,0.14852983882510704,126.6959525178163,0.014679694364759983,0.45996878828557475,0.354978354978355,0.5602564102564103,-0.09516132966578553,-0.056918302756882984,17.696402046417003,20,36.05772829055786,
1.5,9,4,799461,998,998,776,761,0.4,0.40022230189530444,371,0.14784672776254423,54.85113599990391,-0.004644698479076883,0.4447524505249987,0.24025974025974026,0.4060446780551905,-0.06173600554153728,-0.1415277612218776,4.127077206982807,20,36.53164052963257,
1.5,10,4,799449,998,998,731,717,0.1,0.4183179096750578,932,0.13463825278882338,125.48285159918339,0.07858799128142852,0.6054232113293941,0.2564935064935065,0.5202231520223152,-0.05692639819458106,0.5383620410306036,8.44185546252234,20,36.57524251937866,
1.5,11,4,799420,998,998,772,759,0.4,0.39857463104188195,168,0.1412789277981212,23.734859870084364,0.0015726012862303262,0.42515773138925156,0.09415584415584416,0.41238471673254284,-0.02507106017485102,0.41169768475582097,4.029929763267091,20,37.66505789756775,
